"id","gospel","letters","psalms_proverbs","old_test"
1,"Matthew 1:1-17","Acts 1:1-11","Psalms 1","Genesis 1-2"
2,"Matthew 1:18-25","Acts 1:12-26","Psalms 2","Genesis 3-4"
3,"Matthew 2:1-12","Acts 2:1-21","Psalms 3","Genesis 5-8"
4,"Matthew 2:13-23","Acts 2:22-47","Psalms 4","Genesis 9-11"
5,"Matthew 3:1-12","Acts 3","Psalms 5","Genesis 12-14"
6,"Matthew 3:13-17","Acts 4:1-22","Psalms 6","Genesis 15-17"
7,"Matthew 4:1-11","Acts 4:23-37","Psalms 7","Genesis 18-20"
8,"Matthew 4:12-17","Acts 5:1-16","Psalms 8","Genesis 21-23"
9,"Matthew 4:18-25","Acts 5:17-42","Psalms 9","Genesis 24"
10,"Matthew 5:1-12","Acts 6","Psalms 10","Genesis 25-26"
11,"Matthew 5:13-20","Acts 7:1-38","Psalms 11","Genesis 27-28"
12,"Matthew 5:21-32","Acts 7:39-60","Psalms 12","Genesis 29-30"
13,"Matthew 5:33-48","Acts 8:1-25","Psalms 13","Genesis 31"
14,"Matthew 6:1-15","Acts 8:26-40","Psalms 14","Genesis 32-33"
15,"Matthew 6:16-24","Acts 9:1-19","Psalms 15","Genesis 34-35"
16,"Matthew 6:25-34","Acts 9:20-43","Psalms 16","Genesis 36"
17,"Matthew 7:1-14","Acts 10:1-23","Psalms 17","Genesis 37-38"
18,"Matthew 7:15-29","Acts 10:24-48","Psalms 18:1-24","Genesis 39-40"
19,"Matthew 8:1-13","Acts 11:1-18","Psalms 18:25-50","Genesis 41"
20,"Matthew 8:14-22","Acts 11:19-30","Psalms 19","Genesis 42-43"
21,"Matthew 8:23-34","Acts 12","Psalms 20","Genesis 44-45"
22,"Matthew 9:1-13","Acts 13:1-25","Psalms 21","Genesis 46-47"
23,"Matthew 9:14-26","Acts 13:26-52","Psalms 22:1-11","Genesis 48"
24,"Matthew 9:27-38","Acts 14","Psalms 22:12-31","Genesis 49"
25,"Matthew 10:1-20","Acts 15:1-21","Psalms 23","Genesis 50"
26,"Matthew 10:21-42","Acts 15:22-41","Psalms 24","Exodus 1-3"
